LT,close_factor,liq_bonus,slippage,base_bad_debt_rate,crisis_bad_debt_rate,mild_bad_debt_rate,severe_bad_debt_rate,score
0.85,0.3,0.12,0.05,0.24359521363417708,0.6959570221337992,0.03642717265955998,0.5830043610878256,0.662071223820007
0.85,0.3,0.08,0.02,0.24359521363417708,0.6959570221337992,0.03642717265955998,0.5830043610878256,0.662071223820007
0.85,0.3,0.05,0.0,0.24359521363417708,0.6959570221337992,0.03642717265955998,0.5830043610878256,0.662071223820007
0.85,0.3,0.08,0.0,0.24359521363417708,0.6959570221337992,0.03642717265955998,0.5830043610878256,0.662071223820007
0.8,0.3,0.05,0.0,0.375344091057269,0.6985955719427888,0.09824774225629943,0.6392760691391569,0.6807997211016992
0.8,0.3,0.05,0.02,0.375344091057269,0.6985955719427888,0.09824774225629943,0.6392760691391569,0.6807997211016992
0.8,0.3,0.08,0.05,0.375344091057269,0.6985955719427888,0.09824774225629943,0.6392760691391569,0.6807997211016992
0.8,0.3,0.12,0.02,0.375344091057269,0.6985955719427888,0.09824774225629943,0.6392760691391569,0.6807997211016992
0.8,0.3,0.12,0.0,0.375344091057269,0.6985955719427888,0.09824774225629943,0.6392760691391569,0.6807997211016992
0.8,0.3,0.08,0.0,0.375344091057269,0.6985955719427888,0.09824774225629943,0.6392760691391569,0.6807997211016992
0.8,0.3,0.05,0.05,0.375344091057269,0.6985955719427888,0.09824774225629943,0.6392760691391569,0.6807997211016992
0.8,0.3,0.08,0.02,0.375344091057269,0.6985955719427888,0.09824774225629943,0.6392760691391569,0.6807997211016992
0.8,0.3,0.12,0.05,0.375344091057269,0.6985955719427888,0.09824774225629943,0.6392760691391569,0.6807997211016992
0.75,0.3,0.12,0.02,0.50870876399747,0.699409527340314,0.20850960896415566,0.6772839026776118,0.6927718399415034
0.75,0.3,0.05,0.02,0.50870876399747,0.699409527340314,0.20850960896415566,0.6772839026776118,0.6927718399415034
0.75,0.3,0.05,0.05,0.50870876399747,0.699409527340314,0.20850960896415566,0.6772839026776118,0.6927718399415034
0.75,0.3,0.08,0.0,0.50870876399747,0.699409527340314,0.20850960896415566,0.6772839026776118,0.6927718399415034
0.75,0.3,0.08,0.02,0.50870876399747,0.699409527340314,0.20850960896415566,0.6772839026776118,0.6927718399415034
0.75,0.3,0.08,0.05,0.50870876399747,0.699409527340314,0.20850960896415566,0.6772839026776118,0.6927718399415034
