scenario,shock,delay,total_shock,LT,close_factor,liq_bonus,slippage,liquidatable_rate,bad_debt_rate
base,-0.2,1,-0.22,0.8,0.3,0.05,0.0,0.484,0.375344091057269
severe,-0.3,2,-0.35,0.8,0.3,0.05,0.0,0.8964,0.6392760691391569
crisis,-0.4,3,-0.5,0.8,0.3,0.05,0.0,0.9972,0.6985955719427888
mild,-0.1,0,-0.1,0.8,0.3,0.05,0.02,0.1141,0.09824774225629943
base,-0.2,1,-0.22,0.8,0.3,0.05,0.02,0.484,0.375344091057269
severe,-0.3,2,-0.35,0.8,0.3,0.05,0.02,0.8964,0.6392760691391569
crisis,-0.4,3,-0.5,0.8,0.3,0.05,0.02,0.9972,0.6985955719427888
mild,-0.1,0,-0.1,0.8,0.3,0.05,0.05,0.1141,0.09824774225629943
base,-0.2,1,-0.22,0.8,0.3,0.05,0.05,0.484,0.375344091057269
severe,-0.3,2,-0.35,0.8,0.3,0.05,0.05,0.8964,0.6392760691391569
crisis,-0.4,3,-0.5,0.8,0.3,0.05,0.05,0.9972,0.6985955719427888
mild,-0.1,0,-0.1,0.8,0.3,0.08,0.0,0.1141,0.09824774225629943
base,-0.2,1,-0.22,0.8,0.3,0.08,0.0,0.484,0.375344091057269
severe,-0.3,2,-0.35,0.8,0.3,0.08,0.0,0.8964,0.6392760691391569
crisis,-0.4,3,-0.5,0.8,0.3,0.08,0.0,0.9972,0.6985955719427888
mild,-0.1,0,-0.1,0.8,0.3,0.08,0.02,0.1141,0.09824774225629943
base,-0.2,1,-0.22,0.8,0.3,0.08,0.02,0.484,0.375344091057269
severe,-0.3,2,-0.35,0.8,0.3,0.08,0.02,0.8964,0.6392760691391569
crisis,-0.4,3,-0.5,0.8,0.3,0.08,0.02,0.9972,0.6985955719427888
mild,-0.1,0,-0.1,0.8,0.3,0.08,0.05,0.1141,0.09824774225629943
base,-0.2,1,-0.22,0.8,0.3,0.08,0.05,0.484,0.375344091057269
severe,-0.3,2,-0.35,0.8,0.3,0.08,0.05,0.8964,0.6392760691391569
crisis,-0.4,3,-0.5,0.8,0.3,0.08,0.05,0.9972,0.6985955719427888
mild,-0.1,0,-0.1,0.8,0.3,0.12,0.0,0.1141,0.09824774225629943
base,-0.2,1,-0.22,0.8,0.3,0.12,0.0,0.484,0.375344091057269
severe,-0.3,2,-0.35,0.8,0.3,0.12,0.0,0.8964,0.6392760691391569
crisis,-0.4,3,-0.5,0.8,0.3,0.12,0.0,0.9972,0.6985955719427888
mild,-0.1,0,-0.1,0.8,0.3,0.12,0.02,0.1141,0.09824774225629943
base,-0.2,1,-0.22,0.8,0.3,0.12,0.02,0.484,0.375344091057269
severe,-0.3,2,-0.35,0.8,0.3,0.12,0.02,0.8964,0.6392760691391569
crisis,-0.4,3,-0.5,0.8,0.3,0.12,0.02,0.9972,0.6985955719427888
mild,-0.1,0,-0.1,0.8,0.3,0.12,0.05,0.1141,0.09824774225629943
base,-0.2,1,-0.22,0.8,0.3,0.12,0.05,0.484,0.375344091057269
severe,-0.3,2,-0.35,0.8,0.3,0.12,0.05,0.8964,0.6392760691391569
crisis,-0.4,3,-0.5,0.8,0.3,0.12,0.05,0.9972,0.6985955719427888
mild,-0.1,0,-0.1,0.8,0.5,0.05,0.0,0.1141,0.07017695875449959
base,-0.2,1,-0.22,0.8,0.5,0.05,0.0,0.484,0.2681029221837636
severe,-0.3,2,-0.35,0.8,0.5,0.05,0.0,0.8964,0.45662576367082625
crisis,-0.4,3,-0.5,0.8,0.5,0.05,0.0,0.9972,0.498996837101992
mild,-0.1,0,-0.1,0.8,0.5,0.05,0.02,0.1141,0.07017695875449959
base,-0.2,1,-0.22,0.8,0.5,0.05,0.02,0.484,0.2681029221837636
severe,-0.3,2,-0.35,0.8,0.5,0.05,0.02,0.8964,0.45662576367082625
crisis,-0.4,3,-0.5,0.8,0.5,0.05,0.02,0.9972,0.4989973543019916
mild,-0.1,0,-0.1,0.8,0.5,0.05,0.05,0.1141,0.07017695875449959
base,-0.2,1,-0.22,0.8,0.5,0.05,0.05,0.484,0.2681029221837636
severe,-0.3,2,-0.35,0.8,0.5,0.05,0.05,0.8964,0.45662576367082625
crisis,-0.4,3,-0.5,0.8,0.5,0.05,0.05,0.9972,0.49899824093056255
mild,-0.1,0,-0.1,0.8,0.5,0.08,0.0,0.1141,0.07017695875449959
base,-0.2,1,-0.22,0.8,0.5,0.08,0.0,0.484,0.2681029221837636
severe,-0.3,2,-0.35,0.8,0.5,0.08,0.0,0.8964,0.45662576367082625
crisis,-0.4,3,-0.5,0.8,0.5,0.08,0.0,0.9972,0.49899758416865814
mild,-0.1,0,-0.1,0.8,0.5,0.08,0.02,0.1141,0.07017695875449959
base,-0.2,1,-0.22,0.8,0.5,0.08,0.02,0.484,0.2681029221837636
severe,-0.3,2,-0.35,0.8,0.5,0.08,0.02,0.8964,0.45662576367082625
crisis,-0.4,3,-0.5,0.8,0.5,0.08,0.02,0.9972,0.49899815883532445
mild,-0.1,0,-0.1,0.8,0.5,0.08,0.05,0.1141,0.07017695875449959
base,-0.2,1,-0.22,0.8,0.5,0.08,0.05,0.484,0.2681029221837636
severe,-0.3,2,-0.35,0.8,0.5,0.08,0.05,0.8964,0.45662576367082625
crisis,-0.4,3,-0.5,0.8,0.5,0.08,0.05,0.9972,0.4989990208353239
mild,-0.1,0,-0.1,0.8,0.5,0.12,0.0,0.1141,0.07017695875449959
base,-0.2,1,-0.22,0.8,0.5,0.12,0.0,0.484,0.2681029221837636
severe,-0.3,2,-0.35,0.8,0.5,0.12,0.0,0.8964,0.45662576367082625
crisis,-0.4,3,-0.5,0.8,0.5,0.12,0.0,0.9972,0.4989986103591338
mild,-0.1,0,-0.1,0.8,0.5,0.12,0.02,0.1141,0.07017695875449959
base,-0.2,1,-0.22,0.8,0.5,0.12,0.02,0.484,0.2681029221837636
severe,-0.3,2,-0.35,0.8,0.5,0.12,0.02,0.8964,0.45662576367082625
crisis,-0.4,3,-0.5,0.8,0.5,0.12,0.02,0.9972,0.49899920403469833
mild,-0.1,0,-0.1,0.8,0.5,0.12,0.05,0.1141,0.07017695875449959
base,-0.2,1,-0.22,0.8,0.5,0.12,0.05,0.484,0.2681029221837636
severe,-0.3,2,-0.35,0.8,0.5,0.12,0.05,0.8964,0.45662576367082625
crisis,-0.4,3,-0.5,0.8,0.5,0.12,0.05,0.9972,0.49901185413991284
mild,-0.1,0,-0.1,0.8,0.8,0.05,0.0,0.1141,0.028070783501799833
